database,round,revision,workload,samples,errors,p50_ms,p95_ms,p99_ms,mean_ms,scheduling,source_sha256
mysql,1,baseline,get.columns.100,5000,0,3.017959,12.406041,37.054875,5.318161,single-client,66e015b5eeb1606ec38d8d8a1dac78a585b1b5e70c98558cd1ac29d22675f647
mysql,1,candidate,get.columns.100,5000,0,2.620958,3.998542,5.384041,2.973284,single-client,db48a506d96a46e2f08de3d34de561e296b282e0736811257ef412e2e6ff2a40
mysql,2,baseline,get.columns.100,5000,0,2.026042,3.540291,5.241125,2.361995,single-client,9568121d55ce3711107c8f2ee41a66687e1d40e1b4a4bd8492658b9113bfff32
mysql,2,candidate,get.columns.100,5000,0,2.905083,5.006208,6.496916,3.320340,single-client,496872371044644996bf405e8397a2c7cf7ec3fa3fe36183c97a135be40fe01f
mysql,3,baseline,get.columns.100,5000,0,2.110125,3.503708,4.993709,2.469749,single-client,bc244e961b915fdcf8559b7d9e695918086bc848f8466500dadb92c296c8ba57
mysql,3,candidate,get.columns.100,5000,0,1.948625,3.337083,4.723875,2.399854,single-client,4e9685b8f7d79888e2a18b0f4096b1bda7a900a7ac808935317e34db52f0622c
mysql,4,baseline,get.columns.100,5000,0,2.554416,3.965500,5.394917,3.060810,single-client,b5083dd2381d7dd15b815a6ea06264adb9d1a9ee503bbb2dd6950c12c402e2d2
mysql,4,candidate,get.columns.100,5000,0,2.001708,3.474208,4.661375,2.388569,single-client,85bb0b6581b78f4ac299661f36f7e3b37ed9d6dcedd1d6d9d649f232b698f425
mysql,5,baseline,get.columns.100,5000,0,2.116333,3.818583,5.230209,2.602553,single-client,1b77bc3bdf3868c1c39ce342b2ddd6620c33b3fbee6d7160182164dbfd35848e
mysql,5,candidate,get.columns.100,5000,0,1.969125,3.388292,4.711125,2.460289,single-client,191de964e2cd289d9b06f7563a63045d50fe6edbcfecab47dbbf0bb4ce93ad39
