database,round,revision,workload,samples,errors,p50_ms,p95_ms,p99_ms,mean_ms,scheduling,source_sha256
postgres,1,baseline,get.columns.100,2000,0,3.150875,5.059666,8.091667,3.581934,single-client,2dca80adeb36311f87bb5cc24fed0235546eedea35c5b4a1d82767e09e986824
postgres,1,baseline,get.relationships.100,2000,0,4.492125,7.079417,10.186791,5.667617,single-client,2dca80adeb36311f87bb5cc24fed0235546eedea35c5b4a1d82767e09e986824
postgres,1,candidate,get.columns.100,2000,0,2.654625,4.629250,6.041333,2.925626,single-client,143773ab715c80f622fd7e121a3eda0252666d843415c19cfd91cce3bfb24f77
postgres,1,candidate,get.relationships.100,2000,0,3.566208,5.870333,9.243417,4.383712,single-client,143773ab715c80f622fd7e121a3eda0252666d843415c19cfd91cce3bfb24f77
postgres,2,baseline,get.columns.100,2000,0,2.472875,4.381875,6.202542,2.790882,single-client,d0cb1e825b2c2d2f0d3e801a14f98afc634b1800ae7a4f2a263d49e2d25c6c6f
postgres,2,baseline,get.relationships.100,2000,0,3.853834,5.167875,7.283500,4.537207,single-client,d0cb1e825b2c2d2f0d3e801a14f98afc634b1800ae7a4f2a263d49e2d25c6c6f
postgres,2,candidate,get.columns.100,2000,0,2.247416,3.919875,7.128833,2.660072,single-client,d91feca1d9cebfef31ee9fa208ca78a541342cf4df59ed695778c953f8c34ec6
postgres,2,candidate,get.relationships.100,2000,0,3.804291,5.264167,7.368416,4.152499,single-client,d91feca1d9cebfef31ee9fa208ca78a541342cf4df59ed695778c953f8c34ec6
postgres,3,baseline,get.columns.100,2000,0,2.145250,4.015125,6.466750,2.856080,single-client,096cadcb370fb9db65b64e55eaa8ed382102a32d5eeef7aa0a5420b007743599
postgres,3,baseline,get.relationships.100,2000,0,4.686583,6.834917,10.262916,5.366636,single-client,096cadcb370fb9db65b64e55eaa8ed382102a32d5eeef7aa0a5420b007743599
postgres,3,candidate,get.columns.100,2000,0,2.511583,4.163916,6.570125,2.792284,single-client,556b75375ffc6e1441fc92c93dbe7465c942517223d32bae72076bcd5224adaf
postgres,3,candidate,get.relationships.100,2000,0,3.925584,6.167250,8.600667,4.478232,single-client,556b75375ffc6e1441fc92c93dbe7465c942517223d32bae72076bcd5224adaf
postgres,4,baseline,get.columns.100,2000,0,2.226916,3.840292,6.030000,2.761157,single-client,1fa630d62c8be1376d02bdfa6a9e669eb228961d3a7e6a6b4b07bee03d49f118
postgres,4,baseline,get.relationships.100,2000,0,3.888333,5.936083,8.483667,4.486101,single-client,1fa630d62c8be1376d02bdfa6a9e669eb228961d3a7e6a6b4b07bee03d49f118
postgres,4,candidate,get.columns.100,2000,0,2.268542,3.953458,5.545167,2.526580,single-client,506af311648db1c68eb15885958186311f204bafcd059e5b2690dd7609840984
postgres,4,candidate,get.relationships.100,2000,0,3.302000,4.605416,6.075459,3.806486,single-client,506af311648db1c68eb15885958186311f204bafcd059e5b2690dd7609840984
