"Run URL","File","Scenario","Reported outcome","First-attempt status","First-attempt duration (ms)","First failure line"
"https://github.com/open-metadata/OpenMetadata/actions/runs/34398329607","Pages/TasksUIFlow.spec.ts","Pages/TasksUIFlow.spec.ts › Tasks UI Flow - Multi Entity Tests › Create and resolve description task for Pipeline via UI","flaky","timedOut","60173","Test timeout of 60000ms exceeded."
"https://github.com/open-metadata/OpenMetadata/actions/runs/34398329607","Pages/ExplorePageRightPanel.spec.ts","Pages/ExplorePageRightPanel.spec.ts › Right Panel Test Suite › Explore page right panel tests › Overview panel - Deleted entity verification › Should verify deleted tag not visible in tag selection for mlmodel","flaky","timedOut","60133","Test timeout of 60000ms exceeded."
"https://github.com/open-metadata/OpenMetadata/actions/runs/34398329607","Pages/DataProductAndSubdomains.spec.ts","Pages/DataProductAndSubdomains.spec.ts › Multiple Subdomains Tests › Navigate between sibling subdomains","flaky","timedOut","60319","Test timeout of 60000ms exceeded."
"https://github.com/open-metadata/OpenMetadata/actions/runs/34398329607","Features/TeamsDragAndDrop.spec.ts","Features/TeamsDragAndDrop.spec.ts › Teams drag and drop should work properly › Should drag and drop on BusinessUnit team type","flaky","timedOut","180213","Test timeout of 180000ms exceeded."
"https://github.com/open-metadata/OpenMetadata/actions/runs/34398329607","Features/DataQuality/TestCaseResultPermissions.spec.ts","Features/DataQuality/TestCaseResultPermissions.spec.ts › TestCaseResult Permission Coverage › Negative - Edit Results › User with only VIEW cannot PATCH results","flaky","timedOut","60163","Test timeout of 60000ms exceeded."
"https://github.com/open-metadata/OpenMetadata/actions/runs/34398329607","Features/NavigationBlocker.spec.ts","Features/NavigationBlocker.spec.ts › Navigation Blocker Tests › should navigate to new page when ""Leave"" is clicked","flaky","failed","29759","Error: expect(locator).not.toBeVisible() failed"
"https://github.com/open-metadata/OpenMetadata/actions/runs/34398329607","Pages/ExplorePageRightPanel.spec.ts","Pages/ExplorePageRightPanel.spec.ts › Right Panel Test Suite › Explore page right panel tests › Overview panel CRUD and Removal operations › Should perform CRUD and Removal operations for pipeline","flaky","failed","63915","Error: apiRequestContext.delete: socket hang up"
"https://github.com/open-metadata/OpenMetadata/actions/runs/34398329607","Features/Glossary/GlossaryHierarchy.spec.ts","Features/Glossary/GlossaryHierarchy.spec.ts › Glossary Hierarchy › should move term with children to different glossary","flaky","failed","26677","Error: expect(locator).toBeVisible() failed"
"https://github.com/open-metadata/OpenMetadata/actions/runs/34398329607","Features/Announcements/AnnouncementEntity.spec.ts","Features/Announcements/AnnouncementEntity.spec.ts › Announcement Entity Lifecycle › creates an announcement on a domain","flaky","failed","72998","Error: Wait for domain ""PW%domain.9e5fb3b9"" to appear in the domain listing"
"https://github.com/open-metadata/OpenMetadata/actions/runs/34398329607","Features/AutoPilot.spec.ts","Features/AutoPilot.spec.ts › Mysql › Create Service and check the AutoPilot status","unexpected","failed","158288","Error: AutoPilot <#E::databaseService::pw-mysql-with-%-f47c0bb4>: execution 9d64d3ea-96bf-494c-a100-edcb5fd40b67, status FAILURE; Error: Execution 9d64d3ea-96bf-494c-a100-edcb5fd40b67 ended with FAILURE"
"https://github.com/open-metadata/OpenMetadata/actions/runs/34398329607","Features/TestSuitePipelineRedeploy.spec.ts","Features/TestSuitePipelineRedeploy.spec.ts › Bulk Re-Deploy pipelines  › Re-deploy all test-suite ingestion pipelines","unexpected","failed","4717","Error: fixture test suite cleanup"
"https://github.com/open-metadata/OpenMetadata/actions/runs/34405508187","Features/Permission.spec.ts","Features/Permission.spec.ts › Permissions","unexpected","timedOut","192184","Test timeout of 180000ms exceeded."
"https://github.com/open-metadata/OpenMetadata/actions/runs/34405508187","Features/ContextCenterDashboard.spec.ts","Features/ContextCenterDashboard.spec.ts › Context Center - Dashboard › Header Actions › Create > Quick Link creates a quick link that appears in the Articles pillar card recent list","unexpected","failed","32739","Error: expect(locator).toBeVisible() failed"
"https://github.com/open-metadata/OpenMetadata/actions/runs/34405508187","Pages/ExplorePageRightPanel.spec.ts","Pages/ExplorePageRightPanel.spec.ts › Right Panel Test Suite › Explore page right panel tests › Entity switch - Panel content reload › Should update panel content when switching between entities","unexpected","timedOut","60212","Test timeout of 60000ms exceeded."
"https://github.com/open-metadata/OpenMetadata/actions/runs/34405508187","Pages/TasksUIFlow.spec.ts","Pages/TasksUIFlow.spec.ts › Tasks UI Flow - Multi Entity Tests › Create and reject tag task for Dashboard via UI","unexpected","timedOut","61406","Test timeout of 60000ms exceeded."
"https://github.com/open-metadata/OpenMetadata/actions/runs/34405508187","Pages/Entity.spec.ts","Pages/Entity.spec.ts › Table › Certification Add Remove","unexpected","timedOut","66520","Test timeout of 60000ms exceeded."
"https://github.com/open-metadata/OpenMetadata/actions/runs/34405508187","Flow/IngestionBot.spec.ts","Flow/IngestionBot.spec.ts › Ingestion Bot  › Ingestion bot should be able to access domain specific domain","unexpected","timedOut","190991","Test timeout of 180000ms exceeded."
"https://github.com/open-metadata/OpenMetadata/actions/runs/34405508187","Features/BulkEditEntity.spec.ts","Features/BulkEditEntity.spec.ts › Bulk Edit Entity › Table","unexpected","failed","68376","Error: expect(locator).toBeVisible() failed"
"https://github.com/open-metadata/OpenMetadata/actions/runs/34405508187","Pages/Users.spec.ts","Pages/Users.spec.ts › Users Performance around application with multiple team inheriting roles and policy › User Performance across different entities pages","unexpected","timedOut","180464","Test timeout of 180000ms exceeded."
"https://github.com/open-metadata/OpenMetadata/actions/runs/34405508187","Pages/Entity.spec.ts","Pages/Entity.spec.ts › Search Index › Certification Add Remove","unexpected","timedOut","63824","Test timeout of 60000ms exceeded."
"https://github.com/open-metadata/OpenMetadata/actions/runs/34405508187","Pages/InputOutputPorts.spec.ts","Pages/InputOutputPorts.spec.ts › Input Output Ports › Section 1: Tab Initialization & Empty States › Tab renders with empty state when no ports exist","unexpected","failed","42024","Error: Wait for data product ""PW%dataProduct.94ae650f"" to appear in the data product listing"
